uuid,title,position,salary minimum,salary maximum,type,employmentType,categories,updatedAt,newPostingDate,skills,scrape_date,title_clean,salary midpoint,role,posting_month,scrape_month,active_month
01dc97316d358276f0a189305f41e494,Head of Equity,Executive,14000,18000,Monthly,['Permanent'],Banking and Finance,2026-03-24T06:18:20,2026-03-24,"['Sales', 'Leadership', 'Brokerage', 'Managerial Experience', 'Asian Markets', 'Economics', 'Accounting', 'Compliance', 'MBA', 'Trade Compliance', 'Client Relationship Management', 'Equity Capital Markets', 'Finance', 'Regulatory Reporting', 'Institutional Sales']",2026-04-05,Head Of Equity,16000,Head Of Equity,2026-03,2026-04,2026-03
01dc97316d358276f0a189305f41e494,Head of Equity,Executive,14000,18000,Monthly,['Permanent'],Banking and Finance,2026-03-24T06:18:20,2026-03-24,"['Sales', 'Leadership', 'Brokerage', 'Managerial Experience', 'Asian Markets', 'Economics', 'Accounting', 'Compliance', 'MBA', 'Trade Compliance', 'Client Relationship Management', 'Equity Capital Markets', 'Finance', 'Regulatory Reporting', 'Institutional Sales']",2026-04-05,Head Of Equity,16000,Head Of Equity,2026-03,2026-04,2026-04
02d5b90b600655d8190a5d5d1487f92e,"Senior/Principal Lead Engineer/Manager, NAND PD Films",Junior Executive,8000,13000,Monthly,['Full Time'],Engineering,2026-03-30T13:40:48,2026-03-30,"['Mentoring', 'Materials Science', 'Process Improvement', 'Leading Development Teams', 'Technology Transfer', 'safety policies', 'Process Development', 'Risk Analysis', 'Service Innovation Culture', 'Multicultural Team Management', 'Performance Appraisal', 'Oral & Written Communication Skills', 'Failure Analysis']",2026-04-05,"Senior/Principal Lead Engineer/Manager, Nand Pd Films",10500,Principal Lead Engineer,2026-03,2026-04,2026-03
02d5b90b600655d8190a5d5d1487f92e,"Senior/Principal Lead Engineer/Manager, NAND PD Films",Junior Executive,8000,13000,Monthly,['Full Time'],Engineering,2026-03-30T13:40:48,2026-03-30,"['Mentoring', 'Materials Science', 'Process Improvement', 'Leading Development Teams', 'Technology Transfer', 'safety policies', 'Process Development', 'Risk Analysis', 'Service Innovation Culture', 'Multicultural Team Management', 'Performance Appraisal', 'Oral & Written Communication Skills', 'Failure Analysis']",2026-04-05,"Senior/Principal Lead Engineer/Manager, Nand Pd Films",10500,Principal Lead Engineer,2026-03,2026-04,2026-04
02d5b90b600655d8190a5d5d1487f92e,"Senior/Principal Lead Engineer/Manager, NAND PD Films",Junior Executive,8000,13000,Monthly,['Full Time'],Engineering,2026-03-30T13:40:48,2026-03-30,"['Mentoring', 'Materials Science', 'Process Improvement', 'Leading Development Teams', 'Technology Transfer', 'safety policies', 'Process Development', 'Risk Analysis', 'Service Innovation Culture', 'Multicultural Team Management', 'Performance Appraisal', 'Oral & Written Communication Skills', 'Failure Analysis']",2026-04-05,"Senior/Principal Lead Engineer/Manager, Nand Pd Films",10500,"Manager, Nand Pd Films",2026-03,2026-04,2026-03
02d5b90b600655d8190a5d5d1487f92e,"Senior/Principal Lead Engineer/Manager, NAND PD Films",Junior Executive,8000,13000,Monthly,['Full Time'],Engineering,2026-03-30T13:40:48,2026-03-30,"['Mentoring', 'Materials Science', 'Process Improvement', 'Leading Development Teams', 'Technology Transfer', 'safety policies', 'Process Development', 'Risk Analysis', 'Service Innovation Culture', 'Multicultural Team Management', 'Performance Appraisal', 'Oral & Written Communication Skills', 'Failure Analysis']",2026-04-05,"Senior/Principal Lead Engineer/Manager, Nand Pd Films",10500,"Manager, Nand Pd Films",2026-03,2026-04,2026-04
0210960884917f694c02179da3aaabba,Technical Superintendent (Offshore),Executive,8000,11000,Monthly,['Full Time'],Others,2026-03-11T01:49:32,2026-03-11,"['Naval Architecture', 'Regulatory Compliance', 'SMS', 'maritime industry', 'Marine Engineering', 'Personnel and Equipment Operational Readiness', 'guidelines for maintenance', 'shipping industry', 'spare parts warehouse', 'Safety Management Systems', 'shipping vessels', 'compliance with engineering standards']",2026-04-05,Technical Superintendent,9500,Technical Superintendent,2026-03,2026-04,2026-03
0210960884917f694c02179da3aaabba,Technical Superintendent (Offshore),Executive,8000,11000,Monthly,['Full Time'],Others,2026-03-11T01:49:32,2026-03-11,"['Naval Architecture', 'Regulatory Compliance', 'SMS', 'maritime industry', 'Marine Engineering', 'Personnel and Equipment Operational Readiness', 'guidelines for maintenance', 'shipping industry', 'spare parts warehouse', 'Safety Management Systems', 'shipping vessels', 'compliance with engineering standards']",2026-04-05,Technical Superintendent,9500,Technical Superintendent,2026-03,2026-04,2026-04
02b748e019ab46d692b800a30c379d2a,FFA Broker,Executive,6000,12000,Monthly,['Full Time'],Banking and Finance,2026-03-30T05:57:14,2026-03-30,"['Product Knowledge', 'Negotiation', 'Market Research', 'Multi Tasking', 'Ability To Work Under Pressure', 'Brokerage', 'Regulatory Compliance', 'Analytical Skills', 'Interpersonal Skills', 'Problem Solving', 'Risk Management', 'Financial Markets', 'Business Strategy', 'Attention to Detail', 'Cross Selling', 'Networking', 'Team Player', 'Business Development', 'Pricing', 'Able To Work Independently']",2026-04-05,Ffa Broker,9000,Ffa Broker,2026-03,2026-04,2026-03
02b748e019ab46d692b800a30c379d2a,FFA Broker,Executive,6000,12000,Monthly,['Full Time'],Banking and Finance,2026-03-30T05:57:14,2026-03-30,"['Product Knowledge', 'Negotiation', 'Market Research', 'Multi Tasking', 'Ability To Work Under Pressure', 'Brokerage', 'Regulatory Compliance', 'Analytical Skills', 'Interpersonal Skills', 'Problem Solving', 'Risk Management', 'Financial Markets', 'Business Strategy', 'Attention to Detail', 'Cross Selling', 'Networking', 'Team Player', 'Business Development', 'Pricing', 'Able To Work Independently']",2026-04-05,Ffa Broker,9000,Ffa Broker,2026-03,2026-04,2026-04
0044dede397c6543254afda53065de34,INTERIOR DESIGNER,Executive,8000,10000,Monthly,['Full Time'],Architecture / Interior Design,2026-03-30T09:06:38,2026-03-30,"['Renovation', 'Accessories', 'Enthusiasm to learn', 'Interior Design', 'Space Planning', 'Beauty Services', 'AutoCAD', 'Mood Boards', 'Internet Explorer', 'Well Mannered']",2026-04-05,Interior Designer,9000,Interior Designer,2026-03,2026-04,2026-03
0044dede397c6543254afda53065de34,INTERIOR DESIGNER,Executive,8000,10000,Monthly,['Full Time'],Architecture / Interior Design,2026-03-30T09:06:38,2026-03-30,"['Renovation', 'Accessories', 'Enthusiasm to learn', 'Interior Design', 'Space Planning', 'Beauty Services', 'AutoCAD', 'Mood Boards', 'Internet Explorer', 'Well Mannered']",2026-04-05,Interior Designer,9000,Interior Designer,2026-03,2026-04,2026-04
